 ---------------------------
 OneDMin
 Argonne National Laboratory
 ---------------------------

 Job Parameters:
 RANSEED =    661285410
 TARGET GEOMS: NUMBER =            1 , FILE = target.xyz      
 BATH GEOMS:   NUMBER =            1 , FILE = bath.xyz        
 SAMPLES =            2
 S range =    2.0000000000000000        5.0000000000000000       A
 R range =    2.2449240966187460        5.6123102415468651       A


 Calculating Energy at Infinite Separation...
 Energy (in Eh) will be written to zero.ene


 Calculating Sigma and Epsilon for each orientation...

 ORIENTATION           1

 Finding distance R for bottom of well [min(V(R))]
 Step               R            V(R)
  157      3.83213195     41.05725128
  158      3.93375665   -200.95296489
  159      3.67902810   -289.24896956
  160      3.83707440     20.37653081
  161      3.93525558   -204.40061944
  162      3.57906119   -289.00881141
  163      3.77480269    345.28483785
  164      3.89662716   -147.00971520
  165      3.69834022   -294.74051693
  166      3.84873907    -22.98201447
  167      3.76038381   -300.26340880
  168      3.88788529   -128.74956354
  169      3.67380998   -295.89207354
  170      3.83177754     33.04937963
  171      3.93268312   -200.69921908
  172      3.60172916   -289.42015538
  173      3.78950498    255.10935385
  174      3.91079397   -163.53153890
  175      3.66916416   -292.75440101
  176      3.82992729     44.68833768
  177      3.93804538   -199.36010362
  178      3.68530883   -288.55842862
  179      3.83564091      5.67220660
  180      3.93373495   -203.41796260
  181      3.59392234   -289.25239885
  182      3.78548115    284.96542656
  183      3.90180824   -159.21079979
  184      3.70287897   -294.03087908
  185      3.85132359    -32.39296986
  186      3.74211870   -300.01795562
  187      3.87477437   -102.44065299
  188      3.72993348   -297.50539556
  189      3.86668233    -82.75978059
  190      3.75115890   -298.42870909
  191      3.87984666   -115.92415945
  192      3.71861714   -296.89804561
  193      3.85959650    -62.85154411
  194      3.75473658   -299.18927011
  195      3.88443076   -121.00778228
  196      3.72963005   -296.33083647
  197      3.86605775    -82.24687057
 Problem with atom ordering in Molpro output file
 QC failure
